PTaxMaster
PTempPurchaseMaster
PSupplierMaster
PItemMaster
AttendenceConfig
PTempDebitNoteDetails
PDepartmentWisemargin
ChartDepartmentWise
PTempDebitNoteMaster
PDiscountVoucher
ChartPurchase
PTempEMSReport3
PDTAdjusteddata
ChartSales
PTempPurchaseDetails
PEcommerceItemImport
EditBillReport
PEcommerceItemMaster
EditSummary
PTempSales
PEmployeeDepartment
EmployeeMachineMapping
PTempSalesMaster
PEmployeeDocuments
EmployeeSchedule
PTempStockAdjustDetails
PEmployeeMaster
EmsAccSettings
PTransfer
PEmsAttendenceLeave
ExpenseCategory
PTransfer_Det_SlNo
PEMSCompany
Hist_PDebitNote
PTransferDetails
PEmsEmployeeMaster
Hist_PDebitNoteDetails
PTransferPayment
PEMSEmployeeSalaryDet
Hist_PGiftVoucherSettings
PtransferPaymentDetails
PEMSEmployeesAssignDetail
Hist_PPurchaseDetails
PUnitConversion
PEMSEmployeesAssignMaster
Hist_PPurchaseMaster
PUnitMaster
PEMSItemMaster
Hist_PReturnedSalesDetails
PUnPackingDetails
PEMSLocation
Hist_PReturnedSalesMaster
PUnPackingMaster
PEMSMaterialTransferDetail
Hist_PSalesDetails
PUserReports
PEMSMaterialTransferMaster
Hist_PSalesMaster
PUserSales
PEmsParam
Hist_PTransfer
PUserSalesOptions
PEMSProject
Hist_PTransferDetails
PUserwiseDiscount
PEmsSalaryAdvance
HistPitemWiseDisc
PVanStockReceipt
PEMSSalaryAllowance
HistPpromotionDocument
PVanStockReceiptDetails
PEmsSalaryDeduction
Imp
PVanStockTable
PEMSSalaryHead
JobDoneBy
PVanTransfer
PEMSSalaryPayable
JobLocation
PVanTransferDetails
PEMSSalaryPayableTemp
JobOrder
PVatPaymentMaster
PEMSSalaryPayDetail
JobStatus
PVehicleMaster
PEMSSalaryPayMaster
Loyalty
PVoucherDepartment
PerrorLog
MonthTable
PWarrentycard
PFirstcategory
NAzanTimes
PWastageDetails
PFOC
NBarcodeCount
PWastageMaster
PFOCItem
NCashierShiftMaster
Results
PGiftVoucher
NChequePrintHist
Sheet1$
PGiftVoucherMaster
NCompanyNetworks
stktemp
PGiftVoucherSettings
NDatabaseBackUpLog
Stock
PGRN
NDayBookEntryDetl
Test
PGRNDetails
NDayBookEntryDetl_Log
ZKTAttendanceLog
PGroup
NDayBookEntryMast
AcAdvanceJournal
PGVSales
NDepartmentItemOffer
AcBankReconciliation
PheldsalesDetails
NDynReports
AcBankView
PheldsalesMaster
NEmsImageSavePath
AcCancelledVouchers
PIpCameraMaster
NErrorLogMaster
AcCashFlow
PItemCompany
new1
AcCreditsSummary
PItemDetails
NExpiryDoc
AcCreditsSummaryLedger
PItemDiscount
NFavouriteCameras
AcCROpBalance
PItemImages
NFocPromotion
AcCROPBalanceLedger
NItemNotFoundLog
AcDBOpbalance
PItemMaster1
NJobManage
AcDBOPBalanceLedger
PitemMasterHistory
NJobTypes
AcDebitsSummary
PItemsLoad
NMasterUserLog
AcDebitsSummaryLedger
PitemSyncBarcode
NMusicAnnouncementMast
AcFundInFlow
PItemSyncBranches
NNvrGroupsMaster
AcFundOutFlow
PitemWiseDisc
NOpeningPromotion
AcGeneralLedger
PitemWiseDiscHistory
NopeningPromotionLog
AcGroupSummary
PLeaveType
NParam
AcAccount
AcGrpPrefixes
PLookupDetails
NPaymentFollowUpHistory
AcBankPaymentDetail
AcInflow
PLookupMaster
NPaymentFollowUpHistoryDetails
AcBankPaymentMaster
AcJournalView
PLPO
NSalaryAc
AcBankReceiptDetail
AcLedgerList
PLPOdetails
